timestamp,operacion,codigo,titulo,sede,tiempo_respuesta_ms,exito
2025-11-17T15:48:56.854363,prestamo,LIB0001,Cien años de soledad,SedeA,1.79,True
2025-11-17T15:48:56.855699,devolucion,LIB0002,Don Quijote de la Mancha,SedeB,0.59,True
2025-11-17T15:48:56.857293,renovacion,LIB0003,El amor en los tiempos del cólera,SedeA,0.54,True
2025-11-17T15:48:56.858361,prestamo,LIB0004,1984,SedeB,0.31,True
2025-11-17T15:48:56.859702,devolucion,LIB0005,Crónica de una muerte anunciada,SedeA,0.46,True
2025-11-17T15:48:56.861354,prestamo,LIB0006,La sombra del viento,SedeB,0.63,True
2025-11-17T15:48:56.863226,renovacion,LIB0007,El principito,SedeA,0.70,True
2025-11-17T15:48:56.865077,devolucion,LIB0008,Orgullo y prejuicio,SedeB,0.80,True
2025-11-17T15:48:56.880187,prestamo,LIB0009,Harry Potter y la piedra filosofal,SedeA,0.71,True
2025-11-17T15:48:56.881692,renovacion,LIB0010,El código Da Vinci,SedeB,0.72,True
2025-11-17T15:48:56.883007,prestamo,LIB0011,Los juegos del hambre,SedeA,0.59,True
2025-11-17T15:48:56.884130,devolucion,LIB0012,Cincuenta sombras de Grey,SedeB,0.40,True
2025-11-17T15:48:56.885179,renovacion,LIB0013,El hobbit,SedeA,0.44,True
2025-11-17T15:48:56.886528,prestamo,LIB0014,El señor de los anillos,SedeB,0.75,True
2025-11-17T15:48:56.888044,devolucion,LIB0015,Crepúsculo,SedeA,0.59,True
2025-11-17T15:48:56.890119,prestamo,LIB0016,La casa de los espíritus,SedeB,0.88,True
2025-11-17T15:48:56.893229,renovacion,LIB0017,El alquimista,SedeA,1.32,True
2025-11-17T15:48:56.895596,devolucion,LIB0018,La ciudad y los perros,SedeB,1.16,True
2025-11-17T15:48:56.898533,prestamo,LIB0019,Rayuela,SedeA,1.78,True
2025-11-17T15:48:56.900983,renovacion,LIB0020,Pedro Páramo,SedeB,1.30,True
2025-11-17T15:48:56.902621,prestamo,LIB0021,Ficciones,SedeA,0.70,True
2025-11-17T15:48:56.904220,devolucion,LIB0022,El túnel,SedeB,0.69,True
2025-11-17T15:48:56.905898,prestamo,LIB0023,Los detectives salvajes,SedeA,0.72,True
2025-11-17T15:48:56.907821,renovacion,LIB0024,La tregua,SedeB,0.78,True
2025-11-17T15:48:56.911003,devolucion,LIB0025,El perfume,SedeA,1.78,True
2025-11-17T15:48:56.913602,prestamo,LIB0026,La metamorfosis,SedeB,1.00,True
2025-11-17T15:48:56.915260,renovacion,LIB0027,El extranjero,SedeA,0.76,True
2025-11-17T15:48:56.916586,devolucion,LIB0028,Crimen y castigo,SedeB,0.55,True
2025-11-17T15:48:56.918123,prestamo,LIB0029,Los miserables,SedeA,0.76,True
2025-11-17T15:48:56.919986,renovacion,LIB0030,Guerra y paz,SedeB,0.83,True
2025-11-17T15:48:56.921346,prestamo,LIB0031,Anna Karenina,SedeA,0.64,True
2025-11-17T15:48:56.922693,devolucion,LIB0032,Ulises,SedeB,0.65,True
2025-11-17T15:48:56.925571,renovacion,LIB0033,En busca del tiempo perdido,SedeA,1.15,True
2025-11-17T15:48:56.929126,prestamo,LIB0034,La Odisea,SedeB,2.22,True
2025-11-17T15:48:56.930620,devolucion,LIB0035,La Ilíada,SedeA,0.75,True
2025-11-17T15:48:56.932334,prestamo,LIB0036,La divina comedia,SedeB,0.78,True
2025-11-17T15:48:56.933781,renovacion,LIB0037,Hamlet,SedeA,0.69,True
2025-11-17T15:48:56.935549,devolucion,LIB0038,Macbeth,SedeB,0.78,True
2025-11-17T15:48:56.937143,prestamo,LIB0039,Romeo y Julieta,SedeA,0.79,True
2025-11-17T15:48:56.938445,renovacion,LIB0040,Otelo,SedeB,0.55,True
2025-11-17T15:48:56.939925,prestamo,LIB0041,El guardián entre el centeno,SedeA,0.56,True
2025-11-17T15:48:56.942575,devolucion,LIB0042,Matar un ruiseñor,SedeB,1.57,True
2025-11-17T15:48:56.944314,renovacion,LIB0043,Fahrenheit 451,SedeA,0.65,True
2025-11-17T15:48:56.946635,prestamo,LIB0044,Un mundo feliz,SedeB,0.93,True
2025-11-17T15:48:56.952076,devolucion,LIB0045,El gran Gatsby,SedeA,3.69,True
2025-11-17T15:48:56.954872,prestamo,LIB0046,Lo que el viento se llevó,SedeB,1.24,True
2025-11-17T15:48:56.957297,renovacion,LIB0047,El retrato de Dorian Gray,SedeA,1.03,True
2025-11-17T15:48:56.961269,devolucion,LIB0048,Drácula,SedeB,1.35,True
2025-11-17T15:48:56.964662,prestamo,LIB0049,Frankenstein,SedeA,1.09,True
2025-11-17T15:48:56.966644,renovacion,LIB0050,Jane Eyre,SedeB,0.77,True
2025-11-17T15:48:56.968408,prestamo,LIB0051,Cumbres borrascosas,SedeA,0.79,True
2025-11-17T15:48:56.970029,devolucion,LIB0052,Las aventuras de Tom Sawyer,SedeB,0.72,True
2025-11-17T15:48:56.971541,renovacion,LIB0053,Las aventuras de Huckleberry Finn,SedeA,0.54,True
2025-11-17T15:48:56.973288,prestamo,LIB0054,Moby Dick,SedeB,0.85,True
2025-11-17T15:48:56.975000,devolucion,LIB0055,El viejo y el mar,SedeA,0.80,True
2025-11-17T15:48:56.977751,prestamo,LIB0056,Por quién doblan las campanas,SedeB,1.47,True
2025-11-17T15:48:56.979421,renovacion,LIB0057,El sol también se levanta,SedeA,0.74,True
2025-11-17T15:48:56.980783,devolucion,LIB0058,Las uvas de la ira,SedeB,0.67,True
2025-11-17T15:48:56.982356,prestamo,LIB0059,De ratones y hombres,SedeA,0.68,True
2025-11-17T15:48:56.984697,renovacion,LIB0060,Al este del Edén,SedeB,1.11,True
2025-11-17T15:48:56.986929,prestamo,LIB0061,El ruido y la furia,SedeA,0.94,True
2025-11-17T15:48:56.989233,devolucion,LIB0062,Mientras agonizo,SedeB,0.96,True
2025-11-17T15:48:56.991504,renovacion,LIB0063,Lolita,SedeA,0.96,True
2025-11-17T15:48:56.995913,prestamo,LIB0064,La naranja mecánica,SedeB,2.79,True
2025-11-17T15:48:56.998310,devolucion,LIB0065,El nombre de la rosa,SedeA,0.97,True
2025-11-17T15:48:57.000387,prestamo,LIB0066,El péndulo de Foucault,SedeB,0.98,True
2025-11-17T15:48:57.002224,renovacion,LIB0067,La insoportable levedad del ser,SedeA,0.80,True
2025-11-17T15:48:57.004090,devolucion,LIB0068,El libro de la risa y el olvido,SedeB,0.84,True
2025-11-17T15:48:57.005636,prestamo,LIB0069,Ensayo sobre la ceguera,SedeA,0.63,True
2025-11-17T15:48:57.007117,renovacion,LIB0070,Todos los nombres,SedeB,0.63,True
2025-11-17T15:48:57.010319,prestamo,LIB0071,El evangelio según Jesucristo,SedeA,2.11,True
2025-11-17T15:48:57.011921,devolucion,LIB0072,La caverna,SedeB,0.75,True
2025-11-17T15:48:57.013591,renovacion,LIB0073,Memorial del convento,SedeA,0.70,True
2025-11-17T15:48:57.015322,prestamo,LIB0074,El año de la muerte de Ricardo Reis,SedeB,0.91,True
2025-11-17T15:48:57.016544,devolucion,LIB0075,Levantado del suelo,SedeA,0.56,True
2025-11-17T15:48:57.017982,prestamo,LIB0076,Las intermitencias de la muerte,SedeB,0.66,True
2025-11-17T15:48:57.019381,renovacion,LIB0077,La balsa de piedra,SedeA,0.56,True
2025-11-17T15:48:57.020546,devolucion,LIB0078,El hombre duplicado,SedeB,0.47,True
2025-11-17T15:48:57.021697,prestamo,LIB0079,Caín,SedeA,0.48,True
2025-11-17T15:48:57.023095,renovacion,LIB0080,Claraboya,SedeB,0.63,True
2025-11-17T15:48:57.025035,prestamo,LIB0081,La peste,SedeA,0.93,True
2025-11-17T15:48:57.027683,devolucion,LIB0082,El mito de Sísifo,SedeB,0.98,True
2025-11-17T15:48:57.030595,renovacion,LIB0083,La caída,SedeA,1.35,True
2025-11-17T15:48:57.031992,prestamo,LIB0084,El hombre rebelde,SedeB,0.60,True
2025-11-17T15:48:57.033307,devolucion,LIB0085,Bodas,SedeA,0.55,True
2025-11-17T15:48:57.034485,prestamo,LIB0086,El verano,SedeB,0.48,True
2025-11-17T15:48:57.035901,renovacion,LIB0087,Calígula,SedeA,0.62,True
2025-11-17T15:48:57.037250,devolucion,LIB0088,Los justos,SedeB,0.57,True
2025-11-17T15:48:57.038521,prestamo,LIB0089,Estado de sitio,SedeA,0.56,True
2025-11-17T15:48:57.040046,renovacion,LIB0090,El malentendido,SedeB,0.71,True
2025-11-17T15:48:57.041362,prestamo,LIB0091,Los hermanos Karamázov,SedeA,0.50,True
2025-11-17T15:48:57.042787,devolucion,LIB0092,El idiota,SedeB,0.64,True
2025-11-17T15:48:57.044363,renovacion,LIB0093,Demonios,SedeA,0.67,True
2025-11-17T15:48:57.045657,prestamo,LIB0094,El jugador,SedeB,0.53,True
2025-11-17T15:48:57.047729,devolucion,LIB0095,Memorias del subsuelo,SedeA,0.65,True
2025-11-17T15:48:57.049532,prestamo,LIB0096,Pobres gentes,SedeB,0.88,True
2025-11-17T15:48:57.050355,renovacion,LIB0097,Noches blancas,SedeA,0.35,True
2025-11-17T15:48:57.051272,devolucion,LIB0098,El doble,SedeB,0.32,True
2025-11-17T15:48:57.052126,prestamo,LIB0099,Humillados y ofendidos,SedeA,0.35,True
2025-11-17T15:48:57.052836,renovacion,LIB0100,El eterno marido,SedeB,0.30,True
2025-11-17T15:48:57.053637,prestamo,LIB0101,La muerte de Iván Ilich,SedeA,0.33,True
2025-11-17T15:48:57.054710,devolucion,LIB0102,Resurrección,SedeB,0.38,True
2025-11-17T15:48:57.055910,renovacion,LIB0103,Los cosacos,SedeA,0.40,True
2025-11-17T15:48:57.057396,prestamo,LIB0104,La sonata a Kreutzer,SedeB,0.68,True
2025-11-17T15:48:57.058626,devolucion,LIB0105,Hadyi Murad,SedeA,0.54,True
2025-11-17T15:48:57.059915,prestamo,LIB0106,Infancia,SedeB,0.68,True
2025-11-17T15:48:57.062224,renovacion,LIB0107,Adolescencia,SedeA,1.30,True
2025-11-17T15:48:57.063378,devolucion,LIB0108,Juventud,SedeB,0.51,True
2025-11-17T15:48:57.064469,prestamo,LIB0109,Sebastopol,SedeA,0.54,True
2025-11-17T15:48:57.065631,renovacion,LIB0110,El diablo,SedeB,0.54,True
2025-11-17T15:48:57.066899,prestamo,LIB0111,Retrato del artista adolescente,SedeA,0.57,True
2025-11-17T15:48:57.068444,devolucion,LIB0112,Dublineses,SedeB,0.67,True
2025-11-17T15:48:57.069761,renovacion,LIB0113,Finnegans Wake,SedeA,0.54,True
2025-11-17T15:48:57.070974,prestamo,LIB0114,Exiliados,SedeB,0.55,True
