timestamp,operacion,codigo,titulo,sede,tiempo_respuesta_ms,exito
2025-11-17T16:28:42.342881,prestamo,LIB0001,Cien años de soledad,SedeA,2.72,True
2025-11-17T16:28:42.344797,devolucion,LIB0002,Don Quijote de la Mancha,SedeB,0.82,True
2025-11-17T16:28:42.347122,renovacion,LIB0003,El amor en los tiempos del cólera,SedeA,0.85,True
2025-11-17T16:28:42.349978,prestamo,LIB0004,1984,SedeB,1.28,True
2025-11-17T16:28:42.352005,devolucion,LIB0005,Crónica de una muerte anunciada,SedeA,0.98,True
2025-11-17T16:28:42.354263,prestamo,LIB0006,La sombra del viento,SedeB,1.08,True
2025-11-17T16:28:42.357612,renovacion,LIB0007,El principito,SedeA,1.61,True
2025-11-17T16:28:42.362201,devolucion,LIB0008,Orgullo y prejuicio,SedeB,1.98,True
2025-11-17T16:28:42.378155,prestamo,LIB0009,Harry Potter y la piedra filosofal,SedeA,1.02,True
2025-11-17T16:28:42.380573,renovacion,LIB0010,El código Da Vinci,SedeB,1.33,True
2025-11-17T16:28:42.382464,prestamo,LIB0011,Los juegos del hambre,SedeA,1.02,True
2025-11-17T16:28:42.384183,devolucion,LIB0012,Cincuenta sombras de Grey,SedeB,0.81,True
2025-11-17T16:28:42.385469,renovacion,LIB0013,El hobbit,SedeA,0.70,True
2025-11-17T16:28:42.386793,prestamo,LIB0014,El señor de los anillos,SedeB,0.74,True
2025-11-17T16:28:42.388243,devolucion,LIB0015,Crepúsculo,SedeA,0.82,True
2025-11-17T16:28:42.390189,prestamo,LIB0016,La casa de los espíritus,SedeB,1.14,True
2025-11-17T16:28:42.392036,renovacion,LIB0017,El alquimista,SedeA,0.99,True
2025-11-17T16:28:42.396319,devolucion,LIB0018,La ciudad y los perros,SedeB,2.08,True
2025-11-17T16:28:42.400438,prestamo,LIB0019,Rayuela,SedeA,2.05,True
2025-11-17T16:28:42.402271,renovacion,LIB0020,Pedro Páramo,SedeB,1.06,True
2025-11-17T16:28:42.403697,prestamo,LIB0021,Ficciones,SedeA,0.77,True
2025-11-17T16:28:42.405201,devolucion,LIB0022,El túnel,SedeB,0.86,True
