timestamp,operacion,codigo,titulo,sede,tiempo_respuesta_ms,exito
2025-11-17T17:08:41.653413,prestamo,LIB0001,Cien años de soledad,SedeA,1.92,True
2025-11-17T17:08:41.654428,devolucion,LIB0002,Don Quijote de la Mancha,SedeB,0.33,True
2025-11-17T17:08:41.655471,renovacion,LIB0003,El amor en los tiempos del cólera,SedeA,0.46,True
2025-11-17T17:08:41.656502,prestamo,LIB0004,1984,SedeB,0.38,True
2025-11-17T17:08:41.657329,devolucion,LIB0005,Crónica de una muerte anunciada,SedeA,0.27,True
2025-11-17T17:08:41.658368,prestamo,LIB0006,La sombra del viento,SedeB,0.34,True
2025-11-17T17:08:41.659323,renovacion,LIB0007,El principito,SedeA,0.33,True
2025-11-17T17:08:41.660105,devolucion,LIB0008,Orgullo y prejuicio,SedeB,0.30,True
2025-11-17T17:08:41.677734,prestamo,LIB0009,Harry Potter y la piedra filosofal,SedeA,2.06,True
2025-11-17T17:08:41.679315,renovacion,LIB0010,El código Da Vinci,SedeB,0.72,True
2025-11-17T17:08:41.680238,prestamo,LIB0011,Los juegos del hambre,SedeA,0.28,True
2025-11-17T17:08:41.680911,devolucion,LIB0012,Cincuenta sombras de Grey,SedeB,0.27,True
2025-11-17T17:08:41.681542,renovacion,LIB0013,El hobbit,SedeA,0.25,True
2025-11-17T17:08:41.682201,prestamo,LIB0014,El señor de los anillos,SedeB,0.29,True
2025-11-17T17:08:41.683048,devolucion,LIB0015,Crepúsculo,SedeA,0.43,True
2025-11-17T17:08:41.683751,prestamo,LIB0016,La casa de los espíritus,SedeB,0.29,True
2025-11-17T17:08:41.684396,renovacion,LIB0017,El alquimista,SedeA,0.28,True
2025-11-17T17:08:41.685032,devolucion,LIB0018,La ciudad y los perros,SedeB,0.27,True
2025-11-17T17:08:41.685622,prestamo,LIB0019,Rayuela,SedeA,0.25,True
2025-11-17T17:08:41.686311,renovacion,LIB0020,Pedro Páramo,SedeB,0.34,True
2025-11-17T17:08:41.686927,prestamo,LIB0021,Ficciones,SedeA,0.27,True
2025-11-17T17:08:41.687706,devolucion,LIB0022,El túnel,SedeB,0.34,True
2025-11-17T17:08:41.688418,prestamo,LIB0023,Los detectives salvajes,SedeA,0.37,True
2025-11-17T17:08:41.688972,renovacion,LIB0024,La tregua,SedeB,0.23,True
2025-11-17T17:08:41.689561,devolucion,LIB0025,El perfume,SedeA,0.25,True
2025-11-17T17:08:41.690225,prestamo,LIB0026,La metamorfosis,SedeB,0.30,True
2025-11-17T17:08:41.691029,renovacion,LIB0027,El extranjero,SedeA,0.41,True
2025-11-17T17:08:41.691826,devolucion,LIB0028,Crimen y castigo,SedeB,0.37,True
2025-11-17T17:08:41.693983,prestamo,LIB0029,Los miserables,SedeA,0.96,True
2025-11-17T17:08:41.695700,renovacion,LIB0030,Guerra y paz,SedeB,0.88,True
2025-11-17T17:08:41.696690,prestamo,LIB0031,Anna Karenina,SedeA,0.44,True
2025-11-17T17:08:41.697364,devolucion,LIB0032,Ulises,SedeB,0.30,True
2025-11-17T17:08:41.698040,renovacion,LIB0033,En busca del tiempo perdido,SedeA,0.27,True
2025-11-17T17:08:41.698875,prestamo,LIB0034,La Odisea,SedeB,0.27,True
2025-11-17T17:08:41.699750,devolucion,LIB0035,La Ilíada,SedeA,0.33,True
2025-11-17T17:08:41.700499,prestamo,LIB0036,La divina comedia,SedeB,0.31,True
2025-11-17T17:08:41.701119,renovacion,LIB0037,Hamlet,SedeA,0.26,True
2025-11-17T17:08:41.701720,devolucion,LIB0038,Macbeth,SedeB,0.23,True
2025-11-17T17:08:41.702307,prestamo,LIB0039,Romeo y Julieta,SedeA,0.24,True
2025-11-17T17:08:41.702893,renovacion,LIB0040,Otelo,SedeB,0.25,True
2025-11-17T17:08:41.703602,prestamo,LIB0041,El guardián entre el centeno,SedeA,0.27,True
2025-11-17T17:08:41.704336,devolucion,LIB0042,Matar un ruiseñor,SedeB,0.26,True
2025-11-17T17:08:41.705136,renovacion,LIB0043,Fahrenheit 451,SedeA,0.26,True
2025-11-17T17:08:41.705806,prestamo,LIB0044,Un mundo feliz,SedeB,0.22,True
2025-11-17T17:08:41.706606,devolucion,LIB0045,El gran Gatsby,SedeA,0.34,True
2025-11-17T17:08:41.707260,prestamo,LIB0046,Lo que el viento se llevó,SedeB,0.27,True
2025-11-17T17:08:41.708024,renovacion,LIB0047,El retrato de Dorian Gray,SedeA,0.34,True
2025-11-17T17:08:41.709839,devolucion,LIB0048,Drácula,SedeB,1.03,True
2025-11-17T17:08:41.711170,prestamo,LIB0049,Frankenstein,SedeA,0.52,True
2025-11-17T17:08:41.712024,renovacion,LIB0050,Jane Eyre,SedeB,0.42,True
2025-11-17T17:08:41.712727,prestamo,LIB0051,Cumbres borrascosas,SedeA,0.29,True
2025-11-17T17:08:41.713366,devolucion,LIB0052,Las aventuras de Tom Sawyer,SedeB,0.27,True
2025-11-17T17:08:41.713911,renovacion,LIB0053,Las aventuras de Huckleberry Finn,SedeA,0.21,True
2025-11-17T17:08:41.714518,prestamo,LIB0054,Moby Dick,SedeB,0.25,True
2025-11-17T17:08:41.715065,devolucion,LIB0055,El viejo y el mar,SedeA,0.23,True
2025-11-17T17:08:41.715812,prestamo,LIB0056,Por quién doblan las campanas,SedeB,0.23,True
2025-11-17T17:08:41.716520,renovacion,LIB0057,El sol también se levanta,SedeA,0.32,True
2025-11-17T17:08:41.717132,devolucion,LIB0058,Las uvas de la ira,SedeB,0.27,True
2025-11-17T17:08:41.717683,prestamo,LIB0059,De ratones y hombres,SedeA,0.22,True
2025-11-17T17:08:41.718308,renovacion,LIB0060,Al este del Edén,SedeB,0.26,True
2025-11-17T17:08:41.718866,prestamo,LIB0061,El ruido y la furia,SedeA,0.23,True
2025-11-17T17:08:41.719585,devolucion,LIB0062,Mientras agonizo,SedeB,0.27,True
2025-11-17T17:08:41.720224,renovacion,LIB0063,Lolita,SedeA,0.23,True
2025-11-17T17:08:41.720809,prestamo,LIB0064,La naranja mecánica,SedeB,0.25,True
2025-11-17T17:08:41.721352,devolucion,LIB0065,El nombre de la rosa,SedeA,0.22,True
2025-11-17T17:08:41.721891,prestamo,LIB0066,El péndulo de Foucault,SedeB,0.24,True
2025-11-17T17:08:41.722529,renovacion,LIB0067,La insoportable levedad del ser,SedeA,0.27,True
2025-11-17T17:08:41.723376,devolucion,LIB0068,El libro de la risa y el olvido,SedeB,0.38,True
2025-11-17T17:08:41.724121,prestamo,LIB0069,Ensayo sobre la ceguera,SedeA,0.33,True
2025-11-17T17:08:41.725207,renovacion,LIB0070,Todos los nombres,SedeB,0.50,True
2025-11-17T17:08:41.726763,prestamo,LIB0071,El evangelio según Jesucristo,SedeA,0.74,True
2025-11-17T17:08:41.727551,devolucion,LIB0072,La caverna,SedeB,0.24,True
2025-11-17T17:08:41.728535,renovacion,LIB0073,Memorial del convento,SedeA,0.25,True
2025-11-17T17:08:41.729135,prestamo,LIB0074,El año de la muerte de Ricardo Reis,SedeB,0.26,True
2025-11-17T17:08:41.729716,devolucion,LIB0075,Levantado del suelo,SedeA,0.25,True
2025-11-17T17:08:41.730422,prestamo,LIB0076,Las intermitencias de la muerte,SedeB,0.25,True
2025-11-17T17:08:41.730977,renovacion,LIB0077,La balsa de piedra,SedeA,0.24,True
2025-11-17T17:08:41.731571,devolucion,LIB0078,El hombre duplicado,SedeB,0.28,True
2025-11-17T17:08:41.732116,prestamo,LIB0079,Caín,SedeA,0.23,True
2025-11-17T17:08:41.732742,renovacion,LIB0080,Claraboya,SedeB,0.27,True
2025-11-17T17:08:41.733490,prestamo,LIB0081,La peste,SedeA,0.28,True
