timestamp,operacion,codigo,titulo,sede,tiempo_respuesta_ms,exito
2025-11-17T16:09:52.976755,prestamo,LIB0001,Cien años de soledad,SedeA,2.18,True
2025-11-17T16:09:52.978198,devolucion,LIB0002,Don Quijote de la Mancha,SedeB,0.64,True
2025-11-17T16:09:52.980608,renovacion,LIB0003,El amor en los tiempos del cólera,SedeA,1.15,True
2025-11-17T16:09:52.987659,prestamo,LIB0004,1984,SedeB,1.81,True
2025-11-17T16:09:52.989962,devolucion,LIB0005,Crónica de una muerte anunciada,SedeA,1.10,True
2025-11-17T16:09:52.993669,prestamo,LIB0006,La sombra del viento,SedeB,2.40,True
2025-11-17T16:09:52.996444,renovacion,LIB0007,El principito,SedeA,1.38,True
2025-11-17T16:09:52.998786,devolucion,LIB0008,Orgullo y prejuicio,SedeB,1.37,True
2025-11-17T16:09:53.003104,prestamo,LIB0009,Harry Potter y la piedra filosofal,SedeA,1.91,True
2025-11-17T16:09:53.005404,renovacion,LIB0010,El código Da Vinci,SedeB,1.06,True
2025-11-17T16:09:53.010144,prestamo,LIB0011,Los juegos del hambre,SedeA,2.14,True
2025-11-17T16:09:53.015290,devolucion,LIB0012,Cincuenta sombras de Grey,SedeB,2.51,True
2025-11-17T16:09:53.018564,renovacion,LIB0013,El hobbit,SedeA,1.52,True
2025-11-17T16:09:53.021254,prestamo,LIB0014,El señor de los anillos,SedeB,1.31,True
2025-11-17T16:09:53.024295,devolucion,LIB0015,Crepúsculo,SedeA,1.57,True
2025-11-17T16:09:53.030403,prestamo,LIB0016,La casa de los espíritus,SedeB,2.96,True
2025-11-17T16:09:53.033759,renovacion,LIB0017,El alquimista,SedeA,1.76,True
2025-11-17T16:09:53.036539,devolucion,LIB0018,La ciudad y los perros,SedeB,1.54,True
2025-11-17T16:09:53.039219,prestamo,LIB0019,Rayuela,SedeA,1.42,True
2025-11-17T16:09:53.043108,renovacion,LIB0020,Pedro Páramo,SedeB,1.75,True
2025-11-17T16:09:53.045764,prestamo,LIB0021,Ficciones,SedeA,1.33,True
2025-11-17T16:09:53.047686,devolucion,LIB0022,El túnel,SedeB,1.08,True
2025-11-17T16:09:53.049985,prestamo,LIB0023,Los detectives salvajes,SedeA,1.19,True
2025-11-17T16:09:53.051664,renovacion,LIB0024,La tregua,SedeB,0.94,True
2025-11-17T16:09:53.053302,devolucion,LIB0025,El perfume,SedeA,0.91,True
2025-11-17T16:09:53.054879,prestamo,LIB0026,La metamorfosis,SedeB,0.82,True
2025-11-17T16:09:53.056724,renovacion,LIB0027,El extranjero,SedeA,0.94,True
2025-11-17T16:09:53.058365,devolucion,LIB0028,Crimen y castigo,SedeB,0.97,True
2025-11-17T16:09:53.060085,prestamo,LIB0029,Los miserables,SedeA,0.70,True
2025-11-17T16:09:53.064917,renovacion,LIB0030,Guerra y paz,SedeB,2.11,True
2025-11-17T16:09:53.069965,prestamo,LIB0031,Anna Karenina,SedeA,2.60,True
2025-11-17T16:09:53.072743,devolucion,LIB0032,Ulises,SedeB,1.58,True
