codigo|titulo|autor|ejemplares_disponibles|sede
LIB0001|Libro 1|Autor 1|8|Sede Sur
LIB0002|Libro 2|Autor 33|10|Sede Sur
LIB0003|Libro 3|Autor 44|1|Sede Central
LIB0004|Libro 4|Autor 13|6|Sede Sur
LIB0005|Libro 5|Autor 8|7|Sede Sur
LIB0006|Libro 6|Autor 34|7|Sede Sur
LIB0007|Libro 7|Autor 14|3|Sede Sur
LIB0008|Libro 8|Autor 19|6|Sede Sur
LIB0009|Libro 9|Autor 17|1|Sede Sur
LIB0010|Libro 10|Autor 38|1|Sede Norte
LIB0011|Libro 11|Autor 12|5|Sede Central
LIB0012|Libro 12|Autor 22|4|Sede Norte
LIB0013|Libro 13|Autor 46|9|Sede Norte
LIB0014|Libro 14|Autor 46|10|Sede Sur
LIB0015|Libro 15|Autor 37|9|Sede Norte
LIB0016|Libro 16|Autor 25|3|Sede Norte
LIB0017|Libro 17|Autor 3|10|Sede Central
LIB0018|Libro 18|Autor 11|10|Sede Norte
LIB0019|Libro 19|Autor 32|1|Sede Central
LIB0020|Libro 20|Autor 33|3|Sede Norte
LIB0021|Libro 21|Autor 37|3|Sede Central
LIB0022|Libro 22|Autor 9|4|Sede Sur
LIB0023|Libro 23|Autor 10|1|Sede Norte
LIB0024|Libro 24|Autor 33|10|Sede Norte
LIB0025|Libro 25|Autor 34|3|Sede Norte
LIB0026|Libro 26|Autor 50|6|Sede Central
LIB0027|Libro 27|Autor 15|3|Sede Central
LIB0028|Libro 28|Autor 9|1|Sede Sur
LIB0029|Libro 29|Autor 13|9|Sede Central
LIB0030|Libro 30|Autor 7|9|Sede Norte
LIB0031|Libro 31|Autor 16|8|Sede Norte
LIB0032|Libro 32|Autor 34|8|Sede Central
LIB0033|Libro 33|Autor 34|4|Sede Sur
LIB0034|Libro 34|Autor 33|5|Sede Central
LIB0035|Libro 35|Autor 22|5|Sede Norte
LIB0036|Libro 36|Autor 29|1|Sede Sur
LIB0037|Libro 37|Autor 4|3|Sede Norte
LIB0038|Libro 38|Autor 1|1|Sede Central
LIB0039|Libro 39|Autor 40|8|Sede Sur
LIB0040|Libro 40|Autor 34|3|Sede Norte
