timestamp,operacion,codigo,titulo,sede,tiempo_respuesta_ms,exito
2025-11-17T17:04:14.654671,prestamo,LIB0001,Cien años de soledad,SedeA,1.77,True
2025-11-17T17:04:14.655919,devolucion,LIB0002,Don Quijote de la Mancha,SedeB,0.35,True
2025-11-17T17:04:14.656778,renovacion,LIB0003,El amor en los tiempos del cólera,SedeA,0.32,True
2025-11-17T17:04:14.658046,prestamo,LIB0004,1984,SedeB,0.46,True
2025-11-17T17:04:14.659463,devolucion,LIB0005,Crónica de una muerte anunciada,SedeA,0.50,True
2025-11-17T17:04:14.660993,prestamo,LIB0006,La sombra del viento,SedeB,0.52,True
2025-11-17T17:04:14.662235,renovacion,LIB0007,El principito,SedeA,0.38,True
2025-11-17T17:04:14.663959,devolucion,LIB0008,Orgullo y prejuicio,SedeB,0.75,True
2025-11-17T17:04:14.680048,prestamo,LIB0009,Harry Potter y la piedra filosofal,SedeA,1.27,True
2025-11-17T17:04:14.681497,renovacion,LIB0010,El código Da Vinci,SedeB,0.81,True
2025-11-17T17:04:14.682353,prestamo,LIB0011,Los juegos del hambre,SedeA,0.49,True
2025-11-17T17:04:14.683040,devolucion,LIB0012,Cincuenta sombras de Grey,SedeB,0.33,True
2025-11-17T17:04:14.683573,renovacion,LIB0013,El hobbit,SedeA,0.22,True
2025-11-17T17:04:14.684366,prestamo,LIB0014,El señor de los anillos,SedeB,0.45,True
2025-11-17T17:04:14.685529,devolucion,LIB0015,Crepúsculo,SedeA,0.61,True
2025-11-17T17:04:14.687297,prestamo,LIB0016,La casa de los espíritus,SedeB,0.70,True
2025-11-17T17:04:14.691510,renovacion,LIB0017,El alquimista,SedeA,2.73,True
2025-11-17T17:04:14.692908,devolucion,LIB0018,La ciudad y los perros,SedeB,0.65,True
2025-11-17T17:04:14.693960,prestamo,LIB0019,Rayuela,SedeA,0.33,True
2025-11-17T17:04:14.695073,renovacion,LIB0020,Pedro Páramo,SedeB,0.46,True
2025-11-17T17:04:14.696040,prestamo,LIB0021,Ficciones,SedeA,0.37,True
2025-11-17T17:04:14.696958,devolucion,LIB0022,El túnel,SedeB,0.39,True
2025-11-17T17:04:14.697941,prestamo,LIB0023,Los detectives salvajes,SedeA,0.40,True
2025-11-17T17:04:14.698823,renovacion,LIB0024,La tregua,SedeB,0.35,True
2025-11-17T17:04:14.699733,devolucion,LIB0025,El perfume,SedeA,0.39,True
2025-11-17T17:04:14.700970,prestamo,LIB0026,La metamorfosis,SedeB,0.43,True
2025-11-17T17:04:14.702711,renovacion,LIB0027,El extranjero,SedeA,0.56,True
2025-11-17T17:04:14.706583,devolucion,LIB0028,Crimen y castigo,SedeB,1.93,True
