timestamp,operacion,codigo,titulo,sede,tiempo_respuesta_ms,exito
2025-11-17T16:36:35.275951,prestamo,LIB0001,Cien años de soledad,SedeA,3.29,True
2025-11-17T16:36:35.278206,devolucion,LIB0002,Don Quijote de la Mancha,SedeB,1.17,True
2025-11-17T16:36:35.281082,renovacion,LIB0003,El amor en los tiempos del cólera,SedeA,1.22,True
2025-11-17T16:36:35.284282,prestamo,LIB0004,1984,SedeB,1.71,True
2025-11-17T16:36:35.287608,devolucion,LIB0005,Crónica de una muerte anunciada,SedeA,1.65,True
2025-11-17T16:36:35.290487,prestamo,LIB0006,La sombra del viento,SedeB,1.09,True
2025-11-17T16:36:35.293829,renovacion,LIB0007,El principito,SedeA,1.73,True
2025-11-17T16:36:35.298112,devolucion,LIB0008,Orgullo y prejuicio,SedeB,2.22,True
2025-11-17T16:36:35.302259,prestamo,LIB0009,Harry Potter y la piedra filosofal,SedeA,1.90,True
2025-11-17T16:36:35.305583,renovacion,LIB0010,El código Da Vinci,SedeB,1.52,True
2025-11-17T16:36:35.309234,prestamo,LIB0011,Los juegos del hambre,SedeA,1.66,True
2025-11-17T16:36:35.312818,devolucion,LIB0012,Cincuenta sombras de Grey,SedeB,1.51,True
2025-11-17T16:36:35.315449,renovacion,LIB0013,El hobbit,SedeA,1.48,True
2025-11-17T16:36:35.317160,prestamo,LIB0014,El señor de los anillos,SedeB,0.90,True
2025-11-17T16:36:35.318901,devolucion,LIB0015,Crepúsculo,SedeA,0.77,True
2025-11-17T16:36:35.320771,prestamo,LIB0016,La casa de los espíritus,SedeB,0.87,True
2025-11-17T16:36:35.322701,renovacion,LIB0017,El alquimista,SedeA,0.97,True
2025-11-17T16:36:35.324512,devolucion,LIB0018,La ciudad y los perros,SedeB,0.87,True
2025-11-17T16:36:35.326379,prestamo,LIB0019,Rayuela,SedeA,0.83,True
2025-11-17T16:36:35.329211,renovacion,LIB0020,Pedro Páramo,SedeB,1.27,True
2025-11-17T16:36:35.331090,prestamo,LIB0021,Ficciones,SedeA,0.95,True
2025-11-17T16:36:35.332936,devolucion,LIB0022,El túnel,SedeB,0.98,True
2025-11-17T16:36:35.334946,prestamo,LIB0023,Los detectives salvajes,SedeA,1.00,True
2025-11-17T16:36:35.336642,renovacion,LIB0024,La tregua,SedeB,0.81,True
2025-11-17T16:36:35.338572,devolucion,LIB0025,El perfume,SedeA,0.86,True
2025-11-17T16:36:35.340734,prestamo,LIB0026,La metamorfosis,SedeB,0.91,True
2025-11-17T16:36:35.342592,renovacion,LIB0027,El extranjero,SedeA,0.89,True
2025-11-17T16:36:35.344893,devolucion,LIB0028,Crimen y castigo,SedeB,1.22,True
2025-11-17T16:36:35.347153,prestamo,LIB0029,Los miserables,SedeA,1.10,True
2025-11-17T16:36:35.348923,renovacion,LIB0030,Guerra y paz,SedeB,0.96,True
2025-11-17T16:36:35.350580,prestamo,LIB0031,Anna Karenina,SedeA,0.82,True
2025-11-17T16:36:35.352042,devolucion,LIB0032,Ulises,SedeB,0.69,True
2025-11-17T16:36:35.353453,renovacion,LIB0033,En busca del tiempo perdido,SedeA,0.73,True
